Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Low,Accuracy_95CI_High,AUC_Mean,AUC_Std,AUC_95CI_Low,AUC_95CI_High,Sensitivity_Mean,Sensitivity_Std,Sensitivity_95CI_Low,Sensitivity_95CI_High,Specificity_Mean,Specificity_Std,Specificity_95CI_Low,Specificity_95CI_High,F1-score_Mean,F1-score_Std,F1-score_95CI_Low,F1-score_95CI_High,Mean_TP,Mean_TN,Mean_FP,Mean_FN
NC vs AD,50,Before Scaling,SVM (Sigmoid),0.7997703114149886,0.0326731769572483,0.7592012038802325,0.8403394189497446,0.8592630206387433,0.0225697795962041,0.8312389378667426,0.8872871034107439,0.7454413472706156,0.0455576060485129,0.6888741079958269,0.8020085865454043,0.8546283436997409,0.0649337378804642,0.7740024591047684,0.9352542282947136,0.7812781663297875,0.0260787974392006,0.7488970624330835,0.8136592702264915,69.0,86.0,14.8,24.0
NC vs AD,50,After Scaling,LR (L1),0.7946477218097323,0.0293583544433639,0.7581945100509017,0.831100933568563,0.8657325394638751,0.029604756023433,0.8289733797339722,0.902491699193778,0.7760363620119717,0.023720318434944,0.7465836965853725,0.8054890274385709,0.813312480490674,0.0413671089665129,0.7619484305771826,0.8646765304041653,0.7822591606875196,0.0404492479207961,0.7320347857898484,0.8324835355851907,72.2,81.8,19.0,20.8
NC vs AD,50,After Scaling,LR (L2),0.7925538165696278,0.0224814639355646,0.7646393921739207,0.8204682409653348,0.8616714856467768,0.0250329126679158,0.8305890192168467,0.8927539520767068,0.76839319217368,0.0356389657853858,0.7241415714247506,0.8126448129226094,0.8204892832704548,0.062843351563493,0.7424589561076032,0.8985196104333064,0.7795634021914963,0.0231918107760953,0.7507669656976647,0.808359838685328,71.2,82.4,18.4,21.8
NC vs AD,50,After Scaling,LR (ElasticNet),0.7946423802147322,0.0265504206509995,0.7616756787552202,0.8276090816742442,0.8643409363658195,0.0291735620447743,0.8281171746754594,0.9005646980561797,0.7744706512999195,0.0471792969425694,0.715889816825766,0.8330514857740731,0.8190015136797072,0.057416799868551,0.7477091403908566,0.8902938869685578,0.782029479182904,0.0338673924573807,0.7399775572555365,0.8240814011102715,71.8,82.2,18.6,21.2
NC vs AD,50,After Scaling,SVM (Linear),0.8007852144650393,0.0307957776303623,0.7625472060847294,0.8390232228453491,0.8632731402097262,0.0277819124833784,0.8287773396778675,0.897768940741585,0.7535669614937908,0.0373818651764271,0.7071512453185141,0.7999826776690674,0.8488695491749926,0.0590747799895464,0.7755185216601646,0.9222205766898206,0.7836579389429977,0.0269993521864575,0.7501338153582493,0.8171820625277462,69.8,85.4,15.4,23.2
NC vs AD,50,After Scaling,SVM (RBF),0.8255969232412799,0.0394716989961193,0.7765863356498627,0.874607510832697,0.8900415625347146,0.0246436472280878,0.8594424329871638,0.9206406920822652,0.7807893326186008,0.0445024356426084,0.7255322604487938,0.8360464047884079,0.8728608208028957,0.0661782588062807,0.7906896593793256,0.955031982226466,0.8101916517513608,0.0453314153539008,0.7539052653188006,0.8664780381839209,72.4,87.6,13.2,20.6
NC vs AD,50,After Scaling,SVM (Poly d2),0.5510068906575503,0.0562819527874712,0.4811236161327431,0.6208901651823574,0.7523146221621766,0.0309417810452963,0.7138953265979284,0.7907339177264248,0.0696707763780934,0.0293770789897048,0.0331943150241887,0.1061472377319982,0.9963961038961038,0.0049351717350029,0.9902682788277978,1.0025239289644097,0.1285788565955499,0.0515436093180912,0.0645790125677957,0.192578700623304,6.4,100.4,0.4,86.6
NC vs AD,50,After Scaling,SVM (Sigmoid),0.7894343250894718,0.0307588629823656,0.7512421522985858,0.8276264978803577,0.8639058867785584,0.0198795335524288,0.8392221856654236,0.8885895878916932,0.7422362190654874,0.0515594660126108,0.6782166863510178,0.806255751779957,0.8406754303778957,0.0686316027965154,0.7554580400464415,0.92589282070935,0.7713312623879347,0.0250840425803791,0.7401853097864676,0.8024772149894018,68.6,84.4,16.4,24.4
MCI vs AD,50,Before Scaling,LR (L1),0.69913223469469,0.0244654591790493,0.6687543548325405,0.7295101145568395,0.7697049442700747,0.0338368638982741,0.727690928555467,0.8117189599846825,0.6948293916228698,0.0692264965151507,0.6088733431782287,0.7807854400675109,0.7056069386509216,0.07782567796948,0.6089735961804182,0.802240281121425,0.729684611200318,0.0295613620789133,0.6929793321690653,0.7663898902315708,64.6,46.0,19.2,28.4
MCI vs AD,50,Before Scaling,LR (L2),0.690287397500199,0.0241261518559955,0.6603308233254123,0.7202439716749857,0.7724350865861475,0.0317270329746789,0.7330407719716648,0.8118294012006301,0.6793470961405744,0.0683655396963413,0.594460066781857,0.7642341254992918,0.7056581419279315,0.0824073776653152,0.6033358678945284,0.8079804159613346,0.7192469799703842,0.0329431242919926,0.6783426885486651,0.7601512713921034,63.2,46.0,19.2,29.8
